article_id,author_id,full_name
19072f6c5d5ce2f05bf0dc205d889b6ead14bd9d,0,Ferrán_Catalá-López
19072f6c5d5ce2f05bf0dc205d889b6ead14bd9d,1,Rafael_Aleixandre-Benavent
19072f6c5d5ce2f05bf0dc205d889b6ead14bd9d,2,Lisa_Caulley
19072f6c5d5ce2f05bf0dc205d889b6ead14bd9d,3,Brian_Hutton
19072f6c5d5ce2f05bf0dc205d889b6ead14bd9d,4,Rafael_Tabarés-Seisdedos
19072f6c5d5ce2f05bf0dc205d889b6ead14bd9d,5,David_Moher
19072f6c5d5ce2f05bf0dc205d889b6ead14bd9d,6,Adolfo_Alonso-Arroyo
96db1c2b60c86121116ed96cff8dc6c4c71aa960,7,Peter_Ingwersen
96db1c2b60c86121116ed96cff8dc6c4c71aa960,8,Soeren_Holm
96db1c2b60c86121116ed96cff8dc6c4c71aa960,9,Birger_Larsen
96db1c2b60c86121116ed96cff8dc6c4c71aa960,10,Thomas_Ploug
bd30ecec50659572423685063502981bbb05d58f,11,Carlo_Graziani
12480cf93546b50d74e32b11fd13e3c709fb341e,12,Susan_Martonosi
12480cf93546b50d74e32b11fd13e3c709fb341e,13,Banafsheh_Behzad
12480cf93546b50d74e32b11fd13e3c709fb341e,14,Kayla_Cummings
d39b521ba6b74ec1adea27127ebf16579facd3a2,15,Sara_E_Oliver
d39b521ba6b74ec1adea27127ebf16579facd3a2,16,Julia_W_Gargano
d39b521ba6b74ec1adea27127ebf16579facd3a2,17,Mona_Marin
d39b521ba6b74ec1adea27127ebf16579facd3a2,18,Megan_Wallace
d39b521ba6b74ec1adea27127ebf16579facd3a2,19,Drph
d39b521ba6b74ec1adea27127ebf16579facd3a2,20,Kathryn_G_Curran
d39b521ba6b74ec1adea27127ebf16579facd3a2,21,Mary_Chamberland
d39b521ba6b74ec1adea27127ebf16579facd3a2,22,Nancy_Mcclung
d39b521ba6b74ec1adea27127ebf16579facd3a2,23,Doug_Campos-Outcalt
d39b521ba6b74ec1adea27127ebf16579facd3a2,24,Rebecca_L_Morgan
d39b521ba6b74ec1adea27127ebf16579facd3a2,25,Sarah_Mbaeyi
d39b521ba6b74ec1adea27127ebf16579facd3a2,26,José_R_Romero
d39b521ba6b74ec1adea27127ebf16579facd3a2,27,;_H_Keipp_Talbot
d39b521ba6b74ec1adea27127ebf16579facd3a2,28,;_Grace
d39b521ba6b74ec1adea27127ebf16579facd3a2,29,M_Lee
d39b521ba6b74ec1adea27127ebf16579facd3a2,30,Beth_P_Bell
d39b521ba6b74ec1adea27127ebf16579facd3a2,31,Kathleen_Dooling
c260a551809d4ef5015b5843d134993b5aed9198,32,Jeanne_M_Palmer
c260a551809d4ef5015b5843d134993b5aed9198,33,Carolyn_Mead-Harvey
c260a551809d4ef5015b5843d134993b5aed9198,34,Claire_Harrison
c260a551809d4ef5015b5843d134993b5aed9198,35,Amylou_C_Dueck
c260a551809d4ef5015b5843d134993b5aed9198,36,Ryan_Eckert
c260a551809d4ef5015b5843d134993b5aed9198,37,Heidi_E_Kosiorek
c260a551809d4ef5015b5843d134993b5aed9198,38,Pablo_Muxi
c260a551809d4ef5015b5843d134993b5aed9198,39,Naveen_Pemmaraju
c260a551809d4ef5015b5843d134993b5aed9198,40,Guillermo_Ruiz_Arguelles
c260a551809d4ef5015b5843d134993b5aed9198,41,Alessandro_M_Vannucchi
c260a551809d4ef5015b5843d134993b5aed9198,42,Vikas_Gupta
c260a551809d4ef5015b5843d134993b5aed9198,43,John_Mascarenhas
c260a551809d4ef5015b5843d134993b5aed9198,44,Kerry_Taylor
c260a551809d4ef5015b5843d134993b5aed9198,45,Frcpa
c260a551809d4ef5015b5843d134993b5aed9198,46,Krisstina_L_Gowin
c260a551809d4ef5015b5843d134993b5aed9198,47,Holly_L_Geyer
c260a551809d4ef5015b5843d134993b5aed9198,48,Kazuya_Shimoda
c260a551809d4ef5015b5843d134993b5aed9198,49,Jean-Jacques_Kiladjian
c260a551809d4ef5015b5843d134993b5aed9198,50,Norio_Komatsu
c260a551809d4ef5015b5843d134993b5aed9198,51,Grace_Kam_Li
c260a551809d4ef5015b5843d134993b5aed9198,52,Shan
c260a551809d4ef5015b5843d134993b5aed9198,53,Virginia_Abello
c260a551809d4ef5015b5843d134993b5aed9198,54,David_Gomez-Almaguer
c260a551809d4ef5015b5843d134993b5aed9198,55,Robyn_M_Scherber
c260a551809d4ef5015b5843d134993b5aed9198,56,Qian_Jiang
c260a551809d4ef5015b5843d134993b5aed9198,57,Xuelan_Zuo
c260a551809d4ef5015b5843d134993b5aed9198,58,Jennifer_Huberty
c260a551809d4ef5015b5843d134993b5aed9198,59,Lesley_Anderson
c260a551809d4ef5015b5843d134993b5aed9198,60,Blake_T_Langlais
c260a551809d4ef5015b5843d134993b5aed9198,61,Ann_Brazeau
c260a551809d4ef5015b5843d134993b5aed9198,62,Michelle_Woehrle
c260a551809d4ef5015b5843d134993b5aed9198,63,Michael_J_Mauro
c260a551809d4ef5015b5843d134993b5aed9198,64,Ruben_Mesa
31baa987a980f41568ef7744d345e974d74b4494,65,Evangelos_Terpos
31baa987a980f41568ef7744d345e974d74b4494,66,Marianna_Politou
31baa987a980f41568ef7744d345e974d74b4494,67,Theodoros_N_Sergentanis
31baa987a980f41568ef7744d345e974d74b4494,68,Andreas_Mentis
31baa987a980f41568ef7744d345e974d74b4494,69,Vassiliki_Pappa
31baa987a980f41568ef7744d345e974d74b4494,70,Maria_Pagoni
31baa987a980f41568ef7744d345e974d74b4494,71,Elisavet_Grouzi
31baa987a980f41568ef7744d345e974d74b4494,72,Stavroula_Labropoulou
31baa987a980f41568ef7744d345e974d74b4494,73,Ioanna_Charitaki
31baa987a980f41568ef7744d345e974d74b4494,74,Dimitra_Moschandreou
31baa987a980f41568ef7744d345e974d74b4494,75,Anthi_Bouhla
31baa987a980f41568ef7744d345e974d74b4494,76,Stylianos_Saridakis
31baa987a980f41568ef7744d345e974d74b4494,77,Eleni_Korompoki
31baa987a980f41568ef7744d345e974d74b4494,78,Chara_Giatra
31baa987a980f41568ef7744d345e974d74b4494,79,Tina_Bagratuni
31baa987a980f41568ef7744d345e974d74b4494,80,Angelos_Pefanis
31baa987a980f41568ef7744d345e974d74b4494,81,Sotirios_Papageorgiou
31baa987a980f41568ef7744d345e974d74b4494,82,Alexandros_Spyridonidis
31baa987a980f41568ef7744d345e974d74b4494,83,Anastasia_Antoniadou
31baa987a980f41568ef7744d345e974d74b4494,84,Anastasia_Kotanidou
31baa987a980f41568ef7744d345e974d74b4494,85,Konstantinos_Syrigos
31baa987a980f41568ef7744d345e974d74b4494,86,Konstantinos_Stamoulis
31baa987a980f41568ef7744d345e974d74b4494,87,George_Panayiotakopoulos
31baa987a980f41568ef7744d345e974d74b4494,88,Sotirios_Tsiodras
31baa987a980f41568ef7744d345e974d74b4494,89,Leonidas_Alexopoulos
31baa987a980f41568ef7744d345e974d74b4494,90,Meletios_A_Dimopoulos
b5b354b52a3e7bfb6660d2b6d102a57928432e66,91,Andrew_Ip
b5b354b52a3e7bfb6660d2b6d102a57928432e66,92,Anthony_Mato
