id,title
0,Heterologous prime-boost strategies for COVID-19 vaccines
1,Draft landscape and tracker of COVID-19 candidate vaccines. World Health Organization
2,"COVID-19: vaccine brands can be mixed in ""extremely rare occasions,"" says Public Health England"
3,Heterologous prime-boost HIV-1 vaccination regimens in pre-clinical and clinical trials
4,Heterologous prime-boost: breaking the protective immune response bottleneck of COVID-19 vaccine candidates
5,Could mixing COVID vaccines bolster immune response?
6,WHO. Interim statement on heterologous priming for COVID-19 vaccines
7,"Safety and immunogenicity of heterologous and homologous 2-dose regimens of adenovirus serotype 26-and modified vaccinia Ankara-vectored Ebola vaccines: a randomized, controlled phase 1 study"
8,Safety and immunogenicity of a heterologous prime-boost Ebola virus vaccine regimen in healthy adults in the United Kingdom and Senegal
9,"Heterologous prime-boost immunisation in Ebola vaccine development, testing and licensure"
10,A novel DNA and protein combination COVID-19 vaccine formulation provides full protection against SARS-CoV-2 in rhesus macaques
11,"Safety and immunogenicity of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine in two formulations: two open, non-randomised phase 1/2 studies from Russia"
12,Heterologous prime-boost vaccination
13,"COVID-19: fever, chills, and aches more common when AstraZeneca and Pfizer vaccines are mixed, early data show"
14,Heterologous prime-boost COVID-19 vaccination: initial reactogenicity data
15,What we know about the COVID-19 immune response: the latest on COVID-19 immunity & the current global situation (Coronavirus Update 34
16,Innate immune sensing of coronavirus and viral evasion strategies
17,Antibodies and vaccines target RBD of SARS-CoV-2
18,Antibody responses in COVID-19: a review
19,SARS-CoV-2 antibody response in persons with past natural infection
20,Antibody-dependent enhancement and COVID-19: moving toward acquittal
21,Molecular basis of COVID-19 relationships in different species: a one health perspective
22,Interpreting diagnostic tests for SARS-CoV-2
23,Profile of specific antibodies to SARS-CoV-2: the first report
24,CDC. Interim guidelines for COVID-19 antibody testing
25,Longitudinal isolation of potent near-germline SARS-CoV-2-neutralizing antibodies from COVID-19 patients
26,Humoral and circulating follicular helper T cell responses in recovered patients with COVID-19
27,SARS-CoV-2 specific memory B cells frequency in recovered patient remains stable while antibodies decay over time
28,Memory B cells targeting SARS-CoV-2 spike protein and their dependence on CD4+ T cell help
29,"A single-blind, randomised, phase II UK multi-Centre study to determine reactogenicity and immunogenicity of heterologous prime/boost COVID-19 vaccine schedules -stage 2"
30,Mix-and-match COVID vaccines trigger potent immune response
31,Next-generation vaccine platforms for COVID-19
32,Immunization guidelines. Dubai Health Authority Department of Public Health & safety
