institution1,institution2,num
California State University,Harvey Mudd College,1
Harvey Mudd College,Massachusetts Institute of Technology,1
California State University,Massachusetts Institute of Technology,1
Mayo Clinic,UT Health San Antonio MD Anderson,6
British Hospital,Mayo Clinic,6
Mayo Clinic,The University of Texas MD Anderson Cancer Center,6
Centro de Hematología y Medicina Interna,Mayo Clinic,6
Mayo Clinic,University of Florence,6
Mayo Clinic,University Health Network,6
Mater Hospital,Mayo Clinic,6
Mayo Clinic,University of Arizona,6
Mayo Clinic,University of Miyazaki,6
Mayo Clinic,Université de Paris,6
Juntendo University Graduate School of Medicine,Mayo Clinic,6
Mayo Clinic,Singapore General Hospital,6
Hospital de San José,Mayo Clinic,6
Mayo Clinic,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",6
Incyte Corporation,Mayo Clinic,6
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,Mayo Clinic,6
Mayo Clinic,Zhongnan Hospital of Wuhan University,6
Arizona State University,Mayo Clinic,6
Mayo Clinic,Queens University,6
British Hospital,UT Health San Antonio MD Anderson,1
The University of Texas MD Anderson Cancer Center,UT Health San Antonio MD Anderson,1
Centro de Hematología y Medicina Interna,UT Health San Antonio MD Anderson,1
UT Health San Antonio MD Anderson,University of Florence,1
UT Health San Antonio MD Anderson,University Health Network,1
Mater Hospital,UT Health San Antonio MD Anderson,1
UT Health San Antonio MD Anderson,University of Arizona,1
UT Health San Antonio MD Anderson,University of Miyazaki,1
UT Health San Antonio MD Anderson,Université de Paris,1
Juntendo University Graduate School of Medicine,UT Health San Antonio MD Anderson,1
Singapore General Hospital,UT Health San Antonio MD Anderson,1
Hospital de San José,UT Health San Antonio MD Anderson,1
UT Health San Antonio MD Anderson,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
Incyte Corporation,UT Health San Antonio MD Anderson,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,UT Health San Antonio MD Anderson,1
UT Health San Antonio MD Anderson,Zhongnan Hospital of Wuhan University,1
Arizona State University,UT Health San Antonio MD Anderson,1
Queens University,UT Health San Antonio MD Anderson,1
British Hospital,The University of Texas MD Anderson Cancer Center,1
British Hospital,Centro de Hematología y Medicina Interna,1
British Hospital,University of Florence,1
British Hospital,University Health Network,1
British Hospital,Mater Hospital,1
British Hospital,University of Arizona,1
