id1,artigotitle1,id2,artigotitle2
2864,Heterologous prime-boost strategies for COVID-19 vaccines,94,Draft landscape and tracker of COVID-19 candidate vaccines. World Health Organization
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4671,"COVID-19: vaccine brands can be mixed in ""extremely rare occasions,"" says Public Health England"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,669,Heterologous prime-boost HIV-1 vaccination regimens in pre-clinical and clinical trials
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4049,Heterologous prime-boost: breaking the protective immune response bottleneck of COVID-19 vaccine candidates
2864,Heterologous prime-boost strategies for COVID-19 vaccines,1074,Could mixing COVID vaccines bolster immune response?
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3639,WHO. Interim statement on heterologous priming for COVID-19 vaccines
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3889,"Safety and immunogenicity of heterologous and homologous 2-dose regimens of adenovirus serotype 26-and modified vaccinia Ankara-vectored Ebola vaccines: a randomized, controlled phase 1 study"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,2470,Safety and immunogenicity of a heterologous prime-boost Ebola virus vaccine regimen in healthy adults in the United Kingdom and Senegal
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3886,"Heterologous prime-boost immunisation in Ebola vaccine development, testing and licensure"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,2819,A novel DNA and protein combination COVID-19 vaccine formulation provides full protection against SARS-CoV-2 in rhesus macaques
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5689,"Safety and immunogenicity of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine in two formulations: two open, non-randomised phase 1/2 studies from Russia"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3270,Heterologous prime-boost vaccination
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5682,"COVID-19: fever, chills, and aches more common when AstraZeneca and Pfizer vaccines are mixed, early data show"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,1980,Heterologous prime-boost COVID-19 vaccination: initial reactogenicity data
2864,Heterologous prime-boost strategies for COVID-19 vaccines,1003,What we know about the COVID-19 immune response: the latest on COVID-19 immunity & the current global situation (Coronavirus Update 34
2864,Heterologous prime-boost strategies for COVID-19 vaccines,850,Innate immune sensing of coronavirus and viral evasion strategies
2864,Heterologous prime-boost strategies for COVID-19 vaccines,572,Antibodies and vaccines target RBD of SARS-CoV-2
2864,Heterologous prime-boost strategies for COVID-19 vaccines,174,Antibody responses in COVID-19: a review
2864,Heterologous prime-boost strategies for COVID-19 vaccines,2927,SARS-CoV-2 antibody response in persons with past natural infection
2864,Heterologous prime-boost strategies for COVID-19 vaccines,1010,Antibody-dependent enhancement and COVID-19: moving toward acquittal
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3000,Molecular basis of COVID-19 relationships in different species: a one health perspective
